Product Name,Label,Comments/Alternates
Hp Probook 430 G1 F2q46ut 13.3 Led Notebook - Intel - Core I5 I5-4200u 1.6ghz - 4 Gb Ram - 128 Gb Ssd - Intel Hd 4000 Graphics - Genuine Windows 7 Professional 64-bit - 1366 X 768 (f2q46ut-aba),HP,
Lenovo KM4802 - Keyboard and mouse set - USB - English,Lenovo,
HP 824A (CB387A) Magenta Original LaserJet Image Drum - 1 Pack,HP,
"Smooth Full-Motion TV Wall Mount Bracket (Min 5.5 - Max 44 lbs, 23 - 42 inch)",,
SQUARE D 9070T100D1 Control Transformer,Square D,
Off Lease REFURBISHED Dell Optiplex 780 2.9GHz 4GB 1TB DVD Win 7 Home Small Form Desktop Computer,Dell Optiplex,
Cables To Go 03177 VALUE SERIES RCA PLUG TO RCA JACK x 2 Y-CABLE,Cables To Go,
Lexmark 15G041K Toner LEX15G041K,Lexmark,
Technical Pro PS92U Power Supply with 5V USB Charging Port,Technical Pro,
HiTi P510S Roll Photo Printer,HiTi,
Off Lease REFURBISHED HP 8000 Elite USF 3.0GHz C2D 2GB 250GB DVD-ROM Win 7 Pro Desktop Computer,HP,
"AEARO 350-4000 Ear Plugs, 22dB, w/o Cord, Universal PK100",Aearo,
"Evercool 80mm Case Fan - 3pin, 3wire, 2500rpm, 1Ball Bearing, 25.02CFM, 28dba, 0.12amp, 1.32W, 5V DC - FAN-EC8025M05CA",Evercool,
"Compucase RA364A00 3U Rackmount Chassis - Lockable Front Panel, Center Mount Holder, PS2 Power, Interchangeable Module",Compucase,
Logitech TrackMan Marble Mouse,Logitech,
"HP Pavilion 15-n237nr A series A8-4555M - 1.6 GHz, Windows 8.1 64-bit, 8 GB RAM, 1 TB HDD, DVD SuperMulti, 15.6 1366 x",HP,
"Refurbished Samsung 22 Class LED Monitor - 1920 x 1080, 16:9, Mega Infinity Dynamic Contrast Ratio, HDMI (Refurbished) - RB-S22C300",Samsung,
HGST Travelstar Z7K500 HTS725025A7E630 250 GB 2.5 Internal Hard Drive - SATA - 7200 rpm - 32 MB Buffer - Bulk,HGST,
Plantronics 84693-11 CS540 w/HL10 Lifter,Plantronics,
"BRADY 51584 Transfer Printer Tape,Reflectice,33 ft. G5543036",Brady,
Seagate Enterprise NAS HDD ST5000VN0001 - Hard drive - 5 TB - internal - 3.5 - SATA 6Gb/s - 7200 rpm - buffer: 128 MB,Seagate,
7FT FLEXboot Series 24AWG Cat6 550MHz UTP Bare Copper Ethernet Network Cable - Orange,,
Kingston 32GB Kit (4x8GB) - DDR3 1600MHz - 32 GB (4 x 8 GB) - DDR3 SDRAM - 1600 MHz - ECC - Registered,Kingston,
C2G Passive - SAS external cable - SAS 6Gbit/s - 4-Lane - 26 pin 4x Shielded Mini MultiLane SAS (SFF-8088) - 26 pin 4x S,C2G,
Fosmon Apple iPhone 6 4.7 Case - DURA-FROST Smooth Durable & Flexible Slim Fit TPU Case Cover - Clear,Fosmon,
"Comprehensive Cable Standard PC Power Cord, 1, Black",Comprehensive Cable,
"Canon Usa, Wide Format 1485b001 Ink Cartridge, Matte Black, 330ml,",Canon USA,
XANTECH AV61 6-Way A/V Distribution Amplifier,Xantech,
StarTech.com 12in Latching SATA to Right Angle SATA Serial ATA Cable - Male SATA - Male SATA - 12 - Red,Startech.com,
"CoolerMaster - Hyper T2 CPU Cooler - 92mm PWM Fan, Direct Contact Heatpipes, Universal Mounting Kit - RR-HT2-28PK-R1",Cooler Master,
Toshiba Canvio Basics 2 TB External Hard Drive - USB 3.0 - 5400 rpm - 8 MB Buffer - Portable - Black - 1 Pack,Toshiba Canvio,
SanDisk X300 - Solid state drive - 512 GB - internal - 2.5 - SATA 6Gb/s,SanDisk,
NETGEAR Powerline XAVB1201 - Bridge - HomePlug AV (HPAV) - wall-pluggable ( pack of 2 ),NETGEAR,
LG 55LB5900 55 1080p 120Hz Class LED HDTV,LG,
B&B Wi-Fi Dual Band Industrial Ethernet Bridge/Router - 2.48 GHz ISM Band - 5.82 GHz UNII Band - 65 Mbps Wireless Speed,B&B,
Vivitar Rapid Travel Charger for Sony NP-F970 F960 F930 FM500H FM50,Vivitar,
"10Gb Fiber Optic Cable, LC/ST, Multi Mode, Duplex - 1 Meter (50/125 Type) - Aqua",,
Lenovo ThinkCentre Edge E93z 10B8-0007US All-in-One Computer - Intel Core i5 i5-4430S 2.70 GHz - Desktop - Business Blac,Lenovo,
Sony SR32UYA/TQMN microSDHC/SDXC High Speed Memory Card,Sony,
Off Lease REFURBISHED IBM Lenovo M58 C2D 2.6GHz 8GB 1TB DVD Windows 7 Pro 64 Bit Tower Computer,IBM,
Corlink QFX-SFP-10GE-SR-COR Juniper Compatible 10GBASE-SR SFP+ 850nm 550m MMF LC,Corlink,
"Minuteman EnterprisePlus LCD E750RT2U - UPS ( rack-mountable / external ) - AC 120/125 V - 600 Watt - 750 VA - Ethernet,",Minuteman,
"Spacedec SD-DO Pole Mount for Flat Panel Display - 24 Screen Support - 26 lb Load Capacity - Aluminum, Steel, Plastic -",Spacedec,
Incipio The Specialist for iPhone 4/4S,Incipio,
"RCA VH6HCR 6 Ft Mini HDMI / HDMI Cable - HDMI for Audio/Video Device, TV - 6 ft - 1 x HDMI Male Digital Audio/Video - 1",RCA,
Targus Kickstand - Flip cover for tablet - black - for Apple iPad mini; iPad mini 2,Targus,
"SIIG USB 3.0 to SATA Adapter - Storage controller - 2.5, 3.5 - SATA 6Gb/s - 600 MBps - USB 3.0",SIIG,
Corlink 1442110G1-COR Adtran Compatible 1000BASE-BXD SFP Tx1490nm/Rx1310nm 20km DOM SMF LC,Corlink,
HP Essential Carrying Case (Messenger) for 17.3 Notebook,HP,
"Water Resistant/ WeatherProof Pouch for all iPhone, and most SmartPhones - Blue/ Black",,
Oki 43913804 Black Image Drum For C710 Series Printers,OKI,
HP 1 TB Internal Hard Drive - SATA - 7200 rpm,HP,
Corlink EX-SFP-1GE-SX-COR Juniper Compatible 1000BASE-SX SFP 850nm 550m DOM MMF LC,Corlink,
Kingston DTGE9/16GBZ 16gb Datatraveler Ge9 Flash Ext Drive Usb 2.0 Gold Metal Casing Us,Kingston,
"Middle Atlantic RIB Series Riser Base for WRK, 32 D",Middle Atlantic,
6ft 18AWG Right Angle Power Cord Cable w/ 3 Conductor PC Power Connector Socket (C13/5-15P) - Black,,
McKlein USA W Series River Forest Leather Laptop Briefcase,McKlein USA,
RCA 25 Digital Series Digital Quad RG-6 Coaxial Cable,RCA,
BTI TekPower Auto Adapter,BTI,
Epson Light Light Black Ink Cartridge - Light Light Black - Inkjet - 1 Each,Epson,
3ft S-Video|3.5mm Stereo to Composite RCA|RCA Stereo Combo 22AWG Cable (Gold Plated),RCA,
Samsung 840 EVO MZ-7TE250KW 250 GB 2.5 Internal Solid State Drive - SATA - 540 MBps Maximum Read Transfer Rate - 520 MB,Samsung,
"QVS Video Cable - for Monitor, Video Device - 15 ft - 1 x HD-15 Male VGA - 1 x HD-15 Male VGA - Shielding - Black",QVS,
Kingston 8GB 1600MHz DDR3 ECC Reg CL11 DIMM SR x4 w/TS Intel - 8 GB (1 x 8 GB) - DDR3 SDRAM - 1600 MHz DDR3-1600/PC3-128,Kingston,
"Rosewill Pellucid HD Series High Speed HDMI Cable (6 Feet) - HDMI for Audio/Video Device, Camera, Gaming Console - 6 ft",Rosewill,
"OKI DATA AMERICAS, INC Toner Cartridge, for C6100 Series, 5000 Page Yield, Cyan",OKI Data,
Solo Classic 16 Expandable Leather Attach USL4884,Solo,
Havis CF-H-PAN-504-P - Port replicator - for Toughpad FZ-A1,Havis,
Xerox Color Xpressions+ Copy Paper,Xerox,
Kensington K39512US KeyFolio Pro 2 Keyboard Case for iPad 2/3/4,Kensington,
"Epson T059 Ink, 450 Page-Yield",Epson,
"Seagate NAS Pro 4 Bay Server - 8TB, HDD 2TB x 4, SATA 3GB/s, RAID 0/1/5/6/10, JBOD, Gigabit Ethernet, 5 Hot Spare, iSCSI",Seagate,
Maxell Ur Type I Audio Cassette - 2 X 60minute(s) - Normal Bias,Maxell,
Allsop ALLSOP 30377 3D Mouse Pad (Marine) ALS30377,Allsop,
Off Lease REFURBISHED IBM Lenovo ThinkCentre M58p C2D 3.0GHz 2GB 400GB DVD Win 7 Desktop With 19 LCD,IBM,
"Manhattan Fast Ethernet Switch - 8 Port, Easy Plug & Play, Windows/Machintosh Compatible, 10/100 Port, 10/100Mbps, Ultra",Manhattan,
Audioengine A5+ White (Pr.) Powered Bookshelf Speakers,Audioengine,
Off Lease REFURBISHED IBM Lenovo M91 i5 3.1GHz 2GB 400GB DVD-RW Win 7 Pro Desktop Computer,IBM,
Valeo Portable Fitness Kit,Valeo,
Microsoft Sculpt Touch Mouse - BlueTrack - Wireless - Bluetooth - Storm Gray - 1000 dpi - Touch Scroll - 5 Button(s),Microsoft,
Transcend TS2GKR72V6Z 16gb 1600mhz Ddr3 240pin Dimm Mem Ecc Reg Drx4 Cl11,Transcend,
"Fosmon Motorola Moto X (2nd Gen, 2014) Case - DURA-FROST Smooth Durable & Flexible Slim Fit TPU Case Cover - Teal",Fosmon,
Off Lease REFURBISHED Dell Latitude E6410 I5 2.4GHz 2GB 160GB DVD Windows 7 Home Laptop Notebook,Dell,
"SMS Audio Sync By 50 On-Ear Wireless Sport Headphone - Bluetooth, Sweat Proof, Water Resistant, Rubber Coating, Oval-Fit",SMS Audio,
"Lenmar Ptz300ma Replacement Battery For Makita[r] 4334 Series, 5026 Series, 5036 Series Power Tools",Lenmar,
Wireless Extenders YX027-DPC/PCS-CEL Directional Indoor Base Unit Antenna,Antenna,
Amd Radeon Memory R5 Entertainment Series-16gb [2x8gb] Ddr3-1600 Mhz Cl11 Memory Kit - 16 Gb [2 X 8 Gb] - Ddr3 Sdram - 1600 Mhz Ddr3-1600/pc3-12800 - 1.35 V - 204-pin - Sodimm (r5316g1601s2lk),AMD,
I Spy Universe (DS),,
MSI A88XM GAMING - Motherboard - micro ATX - Socket FM2+ - AMD A88X - USB 3.0 - Gigabit LAN - onboard graphics (CPU requ,MSI,
Edge Tech Corp. PE206932 2GB 667MHz Non ECC DDR2,Edge Tech,
"High Speed HDMI Cable with HDMI Mini Connectors, 9-inch",,
StarTech.com SATA to LP4 with 2x SATA Power Splitter Cable,Startech.com,
Cables To Go 41020 2-WAY HIGH-FREQUENCY SPLITTER,Cables To Go,
"Select Series High Speed HDMI Cable, 1.5ft Black",,
Xerox 6r1411 Hp Q6001a Compatible Toner Lj 2600 Series Cyan,Xerox,
"NZXT S340 ATX Mid Tower White Computer Case - M/B Compatibility(ATX, Mini ITX, Micro ATX), 3x 3.5 in Bays, 2x 2.5 in B",NZXT,
Furman PL-Pro C Power Conditioner,Furman,
KONICA MINOLTA KNIA06V133 KONICA BR MAGICOLOR 5550 - 1-HI YLD BLACK TONER,Konica Minolta,
"HP - Hard drive - 146 GB - hot-swap - 3.5 - FC-AL - 10000 rpm - for StorageWorks Enterprise Virtual Array 3000, 5000, 5",HP,
Peerless Sa761pu Universal Articulating Arm Wall Mount,Peerless,
Intel Solid-State Drive 530 Series - Solid state drive - 120 GB - internal - mSATA - SATA 6Gb/s,Intel,
Off Lease REFURBISHED HP Pro 6300 3.2GHz QC i5 8GB 1TB DVD Win 7 Pro64 Small Form Computer PC+19LCD,HP,
"Niles RS5 Speckled Granite Pro 5 2-way, High Performance Rock Loudspeaker",Niles,
3FT USB 2.0 AB CERTIFIED DEVICE,,
Electronic Arts 73046 Fifa Soccer 14 Xbox One,Electronic Arts,
Jabra BIZ 2300 Headset - Stereo - USB - Wired - Over-the-head - Binaural - Supra-aural - Noise Cancelling Microphone,Jabra,
Gemini RS-412 2-Way High Powered Active Speaker,Gemini,
"ULTRA Charge and Sync Cable with Lightning Cable - USB to Lightning, 1 Foot, Flat Black - U12-43902",,
Cisco SG500X-48 Layer 3 Switch - 48 Ports - Manageable - 48 x RJ-45 - Stack Port - 4 x Expansion Slots - 10/100/1000Base,Cisco,
Incipio Frequency for iPod Touch 5G,Incipio,
Amped Wireless SR150 High Power Wireless-N Smart Repeater - IEEE 802.11n (draft) 150Mbps,Amped Wireless,
Off Lease REFURBISHED Dell Latitude E4310 Core i5 2.6GH 2GB 80GB DVD Windows 7 Home Laptop Notebook,Dell,
Canon GPR11Y GPR-11 Toner CNM7626A001AA,Canon,
Mini-DVI to HDMI Adapter,,
"Samsung Galaxy S4 Mini Unlocked GSM Android 4.2.2 SmartPhone - 4.3 Touchscreen, 8MP Rear/1.9MP Front Camera, White",Samsung,
Cta Digital Xb1-mfc Multi-function Carry Case For Xbox One[tm]/xbox 360[r]/xbox[r] Slim & Xbox Kinect[tm],CTA Digital,
"Lexmark Twin-Pack #14, #15 Black and Color Return Program Print Cartridges",Lexmark,
Visual Land Prestige Elite 7Q 8GB Tablet - 7 - Quad-Core - Black - Android 4.4 KitKat - Slate - 1024 x 600,Visual Land,
Corlink SRX-SFP-10GE-SR-COR Juniper Compatible 10GBASE-SR SFP+ 850nm 550m MMF LC,Corlink,
TOSHIBA AMERICA CONSUMER TK10 Toner For TF 631/671,Toshiba,
3M Monitor Stand for CRT & LCD,3M,
"Fiber Optic Cable, LC/LC, OM1, Multi Mode, Duplex - 9 meter (62.5/125 Type) - Orange",,
Power First 4CEK5 Gray Cable Protector,Power First,
"Ultra Slim 18Gbps Active High Speed HDMI Cable with RedMere Technology, 6ft White",Redmere Technology,
Roku Streaming Stick (Roku Ready Version),Roku,
Sima PowerMax Universal AC To DC Converter,Sima,
Plextor M6M 512GB mSATA Solid State Drive,Plextor,
Cables To Go 02053 RG59-62 MALE CRIMP-ON CONNECTOR for PLENUM CABLE,Cables To Go,
PANAMAX PM8-EX 8-OUTLET POWERMAX(R) PM8-EX SURGE PROTECTOR (WITHOUT SATELLITE and CATV PROTECTION),Panamax,
Go Travel Micro Mouse,Go Travel,
Xerox TN350 Black Toner Cartridge - Black - Laser - 2500 Page - 1 Each,Xerox,
Seagate Enterprise NAS HDD ST3000VN0001 - Hard drive - 3 TB - internal - 3.5 - SATA 6Gb/s - 7200 rpm - buffer: 128 MB,Seagate,
Sophia Global Remanufactured Ink Cartridge Replacement for HP 61 (Remanufactured) (Pack of 2)(Refurbished),Sophia Global,
QNAP Systems Turbo NAS TS-653 Pro NAS Server,QNAP,
Off Lease REFURBISHED Dell Optiplex 980 Ci5 3.2GHz 4GB 400GB DVD Win 7 Pro SFF Desktop + 17 LCD,Dell,
Kingston 32GB 1600MHz ECC Kit of 4,Kingston,
"roocase Slim FUSION Hybrid Clear PC TPU Case Cover works with iPhone 6 4.7, Gray",rooCASE,
NuForce MMP White Mobile Music Pump Portable Headphone Amplifier,NuForce,
Niles CM8HD (Ea.) 8-Inch Two-way In-Ceiling Loudspeaker with Pivoting Tweeter (FG01663),Niles,
Manhattan Mini USB 2.0 Multi-Card Reader & Writer,Manhattan,
Startech.com 2u Double-sided Horizontal Cable Management Panel With Finger Duct & D-ring Hooks - Cable Management Panel - Black - 1 Pack2u Rack Height - 19 Panel Width (cmpnl2u),Startech.com,
Canon CL31 Ink CNMCL31,Canon,
Targus Commuter Notebook Case - Leather - Black,Targus,
"Energizer Max C, 8 Pack",Energizer,
Corlink SFP-GIG-LH70-COR Alcatel Compatible 1000BASE-ZX SFP 1550nm 80km DOM SMF LC,Corlink,
Off Lease REFURBISHED Dell Latitude E6400 C2D 2.4GHz 2GB 320GB DVD Windows 7 Pro Laptop Notebook,Dell,
Fujifilm 16 GB SDHC Class 10 Flash Memory Card,Fujifilm,
"Peerless SmartMount Universal Tilt Wall Mount - Up to 80lb - 10, 24 Flat Panel Display, Flat Panel Display - Black",Peerless,
35ft Ultra Slim SVGA Super VGA 30/32AWG M/M Monitor Cable w/ ferrites (Gold Plated Connector),,
"BRADY 76766 Ribbon Cartridge,Black/Yellow,200 ft. L G0142895",Brady,
"imation 18059 imation DVD-R Discs, 4.7GB, 16x, Spindle, Silver, 100/Pack",Imation,
Urban Factory Crazy Mouse - Optical - Cable - Gray - USB - 800 dpi - Scroll Wheel - 3 Button(s) - Symmetrical,Urban Factory,
eMedia Guitar Lab 50 Licks Collection - 5 DVD Set,eMedia,
C2G Velocity-Digital audio cable (optical)-TOSLINK (M)-TOSLINK (M)-1.6 ft-fiber optic-40389,C2G,
Stress testing Item 57 DO NOT BUY,,
